seed,config,mean_inner_h10
3,C3F_K=3_α=0.2,0.5975760163180115
3,C3F_K=3_α=0.3,0.5873535411033632
3,C3F_K=3_α=0.5,0.5672880793131255
3,C3F_K=3_α=0.7,0.5541245671457711
3,C3F_K=5_α=0.1,0.6455220340591054
3,C3F_K=5_α=0.2,0.6300934490773682
3,C3F_K=5_α=0.3,0.6162065366918078
3,C3F_K=5_α=0.5,0.5872349509036573
3,C3F_K=5_α=0.7,0.577474977467862
3,C3F_K=7_α=0.1,0.6367582183008397
3,C3F_K=7_α=0.2,0.62469759499075
3,C3F_K=7_α=0.3,0.6102058725866895
3,C3F_K=7_α=0.5,0.5884327119206869
3,C3F_K=7_α=0.7,0.5799297946017741
3,CA_λ=0.0,0.36066837436554244
3,CA_λ=0.25,0.4152554432901665
3,CA_λ=0.5,0.4909990038423225
3,CA_λ=0.75,0.5746406716948911
3,CA_λ=1.0,0.527916133010768
3,HGB_d=3_i=100_lr=0.05,0.7729116265831791
3,HGB_d=5_i=100_lr=0.05,0.7879962999857691
3,LBC-LR,0.7545775817086476
4,C3F_K=10_α=0.1,0.6292309918413233
4,C3F_K=10_α=0.2,0.6234319869104994
4,C3F_K=10_α=0.3,0.6127800719032089
4,C3F_K=10_α=0.5,0.5985552575047584
4,C3F_K=10_α=0.7,0.5854323653484411
4,C3F_K=3_α=0.1,0.5968522867669156
4,C3F_K=3_α=0.2,0.5974310742072282
4,C3F_K=3_α=0.3,0.5832285208641742
4,C3F_K=3_α=0.5,0.5724541700522022
4,C3F_K=3_α=0.7,0.5589973620649354
4,C3F_K=5_α=0.1,0.6235655532428792
4,C3F_K=5_α=0.2,0.6133699898712198
4,C3F_K=5_α=0.3,0.5883374330777023
4,C3F_K=5_α=0.5,0.5751143661721002
4,C3F_K=5_α=0.7,0.5619914740157831
4,C3F_K=7_α=0.1,0.6426098861347016
4,C3F_K=7_α=0.2,0.6241220796277952
4,C3F_K=7_α=0.3,0.6070589806662734
4,C3F_K=7_α=0.5,0.5897064879845954
4,C3F_K=7_α=0.7,0.5780750865398528
4,CA_λ=0.0,0.3290740514007769
4,CA_λ=0.25,0.38088665783644804
4,CA_λ=0.5,0.4667364179735761
4,CA_λ=0.75,0.5429694021793573
4,CA_λ=1.0,0.5118484467348597
4,HGB_d=3_i=100_lr=0.05,0.7442204734926483
4,HGB_d=5_i=100_lr=0.05,0.7454448315394633
4,LBC-LR,0.7280032946361987
5,C3F_K=10_α=0.1,0.6413649641497743
5,C3F_K=10_α=0.2,0.6316942551119766
5,C3F_K=10_α=0.3,0.6249668053465521
5,C3F_K=10_α=0.5,0.6049614942020005
5,C3F_K=10_α=0.7,0.6015977693192883
5,C3F_K=3_α=0.1,0.6129946003363725
5,C3F_K=3_α=0.2,0.6162476763742587
5,C3F_K=3_α=0.3,0.6134040010622289
5,C3F_K=3_α=0.5,0.6022063379658317
5,C3F_K=3_α=0.7,0.5957887049659202
5,C3F_K=5_α=0.1,0.6354895104895105
5,C3F_K=5_α=0.2,0.632833938213685
5,C3F_K=5_α=0.3,0.6195007524121449
5,C3F_K=5_α=0.5,0.6024718951934142
5,C3F_K=5_α=0.7,0.604330795786492
5,C3F_K=7_α=0.1,0.6319155528016287
5,C3F_K=7_α=0.2,0.6273125608568647
5,C3F_K=7_α=0.3,0.6175754625121713
5,C3F_K=7_α=0.5,0.6071080817916261
5,C3F_K=7_α=0.7,0.6048508453571745
5,CA_λ=0.0,0.31529388333185804
5,CA_λ=0.25,0.37287554217933966
5,CA_λ=0.5,0.4433477914490573
5,CA_λ=0.75,0.5401434009028946
5,CA_λ=1.0,0.5118726210498362
5,HGB_d=3_i=100_lr=0.05,0.7212866247676374
5,HGB_d=5_i=100_lr=0.05,0.7344427724174559
5,LBC-LR,0.7089603434540144
6,C3F_K=10_α=0.1,0.60999347035229
6,C3F_K=10_α=0.2,0.6027279417099385
6,C3F_K=10_α=0.3,0.5887772975550097
6,C3F_K=10_α=0.5,0.5754277955702041
6,C3F_K=10_α=0.7,0.567343469834064
6,C3F_K=3_α=0.1,0.6211249650197445
6,C3F_K=3_α=0.2,0.6054538105158421
6,C3F_K=3_α=0.3,0.5897101043707181
6,C3F_K=3_α=0.5,0.5707430324513126
6,C3F_K=3_α=0.7,0.5527502254283138
6,C3F_K=5_α=0.1,0.6280899225770343
6,C3F_K=5_α=0.2,0.5981364592726179
6,C3F_K=5_α=0.3,0.5861861675113751
