query_id,Top10_77,best_rank_77,Top10_82,best_rank_82,Top10_score_blend,best_rank_score_blend
03b14c45b5fc752a,1,1,1,1,1,1
a9e34156e65e170e,1,5,1,4,1,2
f1df14bdfc36e5ce,1,10,1,8,0,16
b34745cabf47fe92,1,5,1,4,1,2
879dac3f7a5f57d7,1,2,1,1,1,2
61c89c3b8a41ad59,0,11,0,11,1,2
59e0f8144e4e9415,1,6,0,23,1,1
a5f4133c1d147bc8,0,19,0,21,0,13
99b370daf94fdb9a,1,5,1,2,1,4
f7fe4eaf50e1d59f,1,2,1,4,1,2
0c13f3122b35cb97,1,3,1,3,1,3
f65f97ddfa78ba56,0,13,0,16,0,17
6359c3c917efa12a,1,5,1,2,1,8
176af81999fa972c,0,13,0,16,0,17
0b8caa86685f8a0b,1,3,1,2,1,1
351d8b8626c3a733,1,2,1,1,1,9
d4fc5ba76575d42b,1,3,1,4,1,5
c0e8350cc41dce8a,1,7,1,7,0,12
dd114af5a375a854,1,1,1,1,1,1
0c452cc07a8b4d4f,1,1,1,1,1,1
c6613154574b73d5,1,8,1,4,1,5
6a39bf0321c1ab01,1,3,0,11,1,1
f1a89ff2276a07b8,1,6,0,23,1,1
77a6c74a452f0de9,1,8,1,4,1,5
a317053255485105,1,7,1,6,1,2
d9cf719eaa9946b1,1,2,1,2,1,2
a9fd41dc944798e1,1,3,1,3,1,2
3c2c0621de056a50,1,3,1,8,1,1
d081edac4c700e65,1,1,1,1,1,1
ebb1fdd01a8a5791,1,2,1,5,1,2
5737db50aa37aa43,1,7,1,6,1,6
ad617f46cb9a2d66,1,4,1,3,1,1
41fcef7bec0f8de8,1,2,1,1,1,7
349ac3882131cf99,1,3,1,3,0,11
188c277151f8b452,1,4,1,4,1,5
07af06e9c1db9d56,0,16,0,16,0,16
5af2ecf27e7fc5df,1,6,1,6,1,8
d8bacf406be4336a,1,2,1,2,1,3
b5b310287a83d24e,1,1,1,1,1,1
0d211a5af62ad47e,0,44,0,47,0,27
